"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15121","Login with an invalid password","chromium","2026-09-26","passed","2026-09-26","","UI\login.spec.ts","",""
"","13100","select product and add to chart","chromium","2026-09-23","failed","2026-09-23","","UI\SelectProductand AddtoCart.spec.ts","",""
"","10562","Login with an invalid password","chromium","2026-09-23","passed","2026-09-23","","UI\SignUpandLoginPage.spec.ts","",""
"","18707","User to login","chromium","2026-09-26","passed","2026-09-26","","UI\login.spec.ts","",""
"","1876","select product and add to chart","chromium","2026-09-26","passed","2026-09-26","","UI\selectproduct.spec.ts","",""
"","30358","select procuct and add to chart","chromium","2026-09-23","broken","2026-09-23","","UI\SelectProductand AddtoCart.spec.ts","",""
"","11996","User to login","chromium","2026-09-23","passed","2026-09-23","","UI\SignUpandLoginPage.spec.ts","",""
"","1661","GET api for the login endpoint","chromium","2026-09-26","passed","2026-09-26","","API\login.spec.ts","",""
"","6713","Register a new user","chromium","2026-09-21","passed","2026-09-21","","UI\LoginPage.spec.ts","",""
"","15736","Login with invalid email","chromium","2026-09-26","passed","2026-09-26","","UI\login.spec.ts","",""
"","15987","Register a new user","chromium","2026-09-26","passed","2026-09-26","","UI\signup.spec.ts","",""
"","12329","Login with invalid email","chromium","2026-09-23","passed","2026-09-23","","UI\SignUpandLoginPage.spec.ts","",""
"","4945","User to login","chromium","2026-09-21","passed","2026-09-21","","UI\LoginPage.spec.ts","",""
"","10626","Register a new user","chromium","2026-09-22","passed","2026-09-22","","UI\SignUpandLoginPage.spec.ts","",""
